,JID,Abstract,New_item,New_clause,cat
0,"ULDV,110,婚,9,20210825,1",原告主張：雙方於民國103年結婚，被告婚後從大陸來台與原告同住，然被告于108年返回大陸後，即未回臺灣與原告履行同居義務，原告乃向本院聲請裁定命被告應與原告同居確定在案，然被告迄今仍未與原告履行同居義務，其顯系惡意遺棄原告于繼續狀態之中，因此請求法院判決離婚。,1,5,3
1,"ULDV,110,婚,81,20211029,1",原告主張：被告為大陸地區人士。雙方於民國97年結婚，並於99年在我國辦理結婚登記，婚後被告來台同住。嗣後被告于107年前往臺北，說要去被告的妹妹那邊工作，未料被告因涉嫌妨害善良風俗案件被抓，內政部移民署于109年以處分書註銷被告持有之108年居留證，原告收到前述處分書後，聯絡並告知被告需返回大陸，結果自此之後被告就沒有再跟原告聯絡。原告有聯繫並告知被告的妹妹，但被告的妹妹人在大陸，因疫情因素無法來台，而且被告也沒有跟其妹妹聯絡，至今音訊全無，因此請求法院判決離婚。,2,0,9
2,"ULDV,110,婚,72,20211230,1",原告主張：雙方于民國87年於大陸地區結婚，婚後被告來台與原告同住，嗣被告于88年農曆春節期間以探親為由回去大陸後即音訊全無，迄今二十幾年沒有返回臺灣與原告同居，已無婚姻之實質關係，雙方婚姻有名無實，已經沒有維持下去必要，因此請求法院判決離婚。,2,0,9
3,"ULDV,110,婚,69,20211130,1",原告主張：被告為越南國籍人，雙方於民國108年結婚，並於108年在我國辦理結婚登記，婚後被告來台與原告同住，未料，被告僅因不適應臺灣氣候，竟於109年無故離家，並出境返回越南，被告的父母、姐姐有勸說被告返台，被告卻跟其家人吵架後離家，此後音訊全無，行蹤不明，因此請求法院判決離婚。,1,5,3
4,"ULDV,110,婚,62,20211123,1",原告主張：被告為印尼國籍人，雙方於民國103年結婚，並於104年在我國辦理結婚登記，婚後被告來台同住。未料，被告于106年無故離家，並出境返回印尼，此後即未再返台與原告同居，也沒有與原告聯絡，甚至已在印尼再婚另組家庭，而雙方分居長達4年多，空有婚姻之名，而無婚姻之實，已失去維持婚姻的意義，雙方無複合或維持婚姻之可能，有難以維持婚姻之重大事由，又此事由之發生非由原告負責，為此原告請求法院判決離婚。,2,0,9
5,"ULDV,110,婚,6,20210428,1",原告主張：被告為越南國籍人，雙方於民國107年結婚，並於107年在我國辦理結婚登記，婚後被告來台與原告同住，未料，被告竟于108年無故離家，並出境返回越南，此後音訊全無，行蹤不明，就連原告的line也被被告封鎖，聯絡被告也無回應，因此請求法院判決離婚。,1,5,3
6,"ULDV,110,婚,56,20211125,1",原告主張：雙方於民國103年結婚，相對人婚後從印尼來台與聲請人同住，相對人於105年離家出走，經原告前向本院聲請裁定命被告應與原告同居確定在案，惟被告迄今仍未與原告履行同居義務，被告顯系惡意遺棄原告于繼續狀態中，因此請求法院判決離婚。,1,5,3
7,"ULDV,110,婚,55,20211230,1",原告主張：雙方于民國105年於大陸地區結婚，婚後被告來台同原告同住，然因雙方年齡相差甚大、生活理念、觀念想法及金錢運用上沒有共識等因素導致被告不適應臺灣的生活而於106年返回大陸，原告曾要求被告回來臺灣一起過生活，被告始終拒絕返回臺灣。按夫妻互負同居之義務，被告不僅有違背履行同居義務之客觀事實，又無不能同居之正當理由，主觀上有拒絕同居之情事，顯系惡意遺棄原告在繼續狀態中，因此請求法院判決離婚。,1,5,3
8,"ULDV,110,婚,52,20211214,1",原告主張：雙方于民國88年於大陸地區結婚，並於88年在我國登記結婚，婚後被告來台與原告同住于雲林縣，被告于88年5月4日(農曆3月19日，北港慶祝媽祖生日活動當日)竟無故離家出走，自此音訊全無，未再返家與原告同居，雙方分居迄今逾22年餘，空有婚姻之名而無婚姻之實，已失卻婚姻之意義，被告長期未返家經營婚姻關係及家庭生活，對於雙方之婚姻產生無法回復之破綻應負責任，且依社會上一般觀念，任何人處於與原告同一之情況下，均不願繼續維持婚姻生活，堪認雙方間之婚姻關係已生破綻而無回復之希望，實屬不能維持婚姻之重大事由，因此請求法院判決離婚。,2,0,9
9,"ULDV,110,婚,45,20210831,1",原告主張：雙方於民國74年結婚，婚後同住于雲林縣，並育有子女共同生活。未料，被告竟于87年離家前往大陸地區，之後往返臺灣與大陸地區，並大約於91年間最後一次返回北港，此後離家即未再返家與原告同住。兒子陳則約於4年前獨自前往澳洲後就未再回來，並非與被告前往大陸地區。因此雙方已無婚姻之實質關係可言，雙方亦無複合或維持婚姻之可能，雙方共同生活之圓滿幸福實無可期待，因此原告請求法院判決離婚。,2,0,9
10,"ULDV,110,婚,42,20210930,1",原告主張：被告于民國86年與被告結婚，被告于婚後有賭博之惡習，在外積欠一堆賭債，甚至向地下錢莊借錢，原告初始數度為被告還債，但被告仍惡性不改，無論原告如何苦言相勸皆無法挽回，後來為免原告責怪，竟開始只在原告上班時間返家，其餘時間則皆不知所蹤，並於104年間不告而別，經原告多方打聽，才知被告已移居臺北並拒絕返家，未久即有員警前往家中尋找被告，並稱被告已被通緝，後被告被捕並羈押，原告尚至監所探視並幫被告籌措保釋金，被告因幫助詐欺被判有期徒刑3個月，經易服社會勞動折抵完畢後，即又離去而沒有音訊，至今已經5年，而被告無故離家後，雙方已無任何婚姻同居生活，婚姻名存實亡，顯屬有其他難以維持婚姻之重大事由，因此請求法院判決離婚。,2,0,9
